"Date","Price","Open","High","Low","Vol.","Change %"
"08/25/1992","1,353.09","1,353.09","1,353.09","1,353.09","60.84M","-1.00%"
"08/24/1992","1,366.76","1,366.76","1,366.76","1,366.76","44.08M","-4.06%"
"08/21/1992","1,424.64","1,424.64","1,424.64","1,424.64","55.21M","-1.00%"
"08/20/1992","1,439.03","1,439.03","1,439.03","1,439.03","50.21M","-2.38%"
"08/19/1992","1,474.13","1,474.13","1,474.13","1,474.13","172.96M","-1.64%"
"08/18/1992","1,498.67","1,498.67","1,498.67","1,498.67","34.02M","-0.77%"
"08/17/1992","1,510.32","1,510.32","1,510.32","1,510.32","16.17M","-0.42%"
"08/14/1992","1,516.62","1,516.62","1,516.62","1,516.62","18.73M","-0.11%"
"08/13/1992","1,518.35","1,518.35","1,518.35","1,518.35","23.74M","-0.47%"
"08/12/1992","1,525.45","1,525.45","1,525.45","1,525.45","41.65M","0.66%"
"08/11/1992","1,515.51","1,515.51","1,515.51","1,515.51","57.22M","-1.48%"
"08/10/1992","1,538.34","1,538.34","1,538.34","1,538.34","16.06M","-1.41%"
"08/07/1992","1,560.40","1,560.40","1,560.40","1,560.40","82.85M","0.49%"
"08/06/1992","1,552.79","1,552.79","1,552.79","1,552.79","28.79M","0.96%"
"08/05/1992","1,537.96","1,537.96","1,537.96","1,537.96","572.60M","0.08%"
"08/04/1992","1,536.68","1,536.68","1,536.68","1,536.68","124.63M","-1.31%"
"08/03/1992","1,557.06","1,557.06","1,557.06","1,557.06","68.20M","-0.81%"
"07/31/1992","1,569.73","1,569.73","1,569.73","1,569.73","47.01M","1.19%"
"07/30/1992","1,551.23","1,551.23","1,551.23","1,551.23","47.12M","0.22%"
"07/29/1992","1,547.78","1,547.78","1,547.78","1,547.78","143.77M","0.66%"
"07/28/1992","1,537.68","1,537.68","1,537.68","1,537.68","98.67M","4.85%"
"07/27/1992","1,466.62","1,466.62","1,466.62","1,466.62","38.84M","-3.70%"
"07/24/1992","1,522.96","1,522.96","1,522.96","1,522.96","96.38M","-3.86%"
"07/23/1992","1,584.12","1,584.12","1,584.12","1,584.12","66.18M","-2.53%"
"07/22/1992","1,625.21","1,625.21","1,625.21","1,625.21","51.84M","-1.93%"
"07/21/1992","1,657.24","1,657.24","1,657.24","1,657.24","65.30M","0.57%"
"07/20/1992","1,647.89","1,647.89","1,647.89","1,647.89","26.62M","-1.57%"
"07/17/1992","1,674.16","1,674.16","1,674.16","1,674.16","57.52M","-0.89%"
"07/16/1992","1,689.18","1,689.18","1,689.18","1,689.18","134.71M","3.01%"
"07/15/1992","1,639.76","1,639.76","1,639.76","1,639.76","41.32M","0.23%"
"07/14/1992","1,636.00","1,636.00","1,636.00","1,636.00","50.09M","-0.27%"
"07/13/1992","1,640.45","1,640.45","1,640.45","1,640.45","45.97M","1.43%"
"07/10/1992","1,617.35","1,617.35","1,617.35","1,617.35","57.83M","1.70%"
"07/09/1992","1,590.25","1,590.25","1,590.25","1,590.25","30.32M","0.50%"
"07/08/1992","1,582.33","1,582.33","1,582.33","1,582.33","43.08M","-1.97%"
"07/07/1992","1,614.19","1,614.19","1,614.19","1,614.19","61.14M","-3.51%"
"07/06/1992","1,672.91","1,672.91","1,672.91","1,672.91","37.19M","-0.60%"
"07/03/1992","1,683.04","1,683.04","1,683.04","1,683.04","56.71M","0.38%"
"07/02/1992","1,676.69","1,676.69","1,676.69","1,676.69","69.76M","1.07%"
"07/01/1992","1,658.91","1,658.91","1,658.91","1,658.91","79.20M","3.73%"
"06/30/1992","1,599.26","1,599.26","1,599.26","1,599.26","49.19M","-0.26%"
"06/29/1992","1,603.38","1,603.38","1,603.38","1,603.38","52.67M","0.15%"
"06/26/1992","1,600.97","1,600.97","1,600.97","1,600.97","105.16M","0.07%"
